sample_id,cell_type,firre_ko,firre_induced,timepoint_minutes,replicate,date_sequenced,sample_name,raw_data_read1,raw_data_read2,raw_data_read1_file_name,raw_data_read2_file_name,md5_read1,md5_read2
JR2772,ESC,KO,control,0,1,2019-11,JR2772_ESC_KO_control_0_rep1,/rinnlab/rinngrp/mism6893/ftc_atac/128.120.88.251/H202SC19112105/Rawdata/JR2772/JR2772_CKDL190142969-1a-N707_H55V3BBXX_L1_1.fq.gz,/rinnlab/rinngrp/mism6893/ftc_atac/128.120.88.251/H202SC19112105/Rawdata/JR2772/JR2772_CKDL190142969-1a-N707_H55V3BBXX_L1_2.fq.gz,JR2772_CKDL190142969-1a-N707_H55V3BBXX_L1_1.fq.gz,JR2772_CKDL190142969-1a-N707_H55V3BBXX_L1_2.fq.gz,6b6a5bdf13d9d02230f466c1a321648c,53c622640ab684c348b26622400bc17f
JR2773,ESC,KO,control,30,1,2019-11,JR2773_ESC_KO_control_30_rep1,/rinnlab/rinngrp/mism6893/ftc_atac/128.120.88.251/H202SC19112105/Rawdata/JR2773/JR2773_CKDL190142969-1a-N708_H55V3BBXX_L1_1.fq.gz,/rinnlab/rinngrp/mism6893/ftc_atac/128.120.88.251/H202SC19112105/Rawdata/JR2773/JR2773_CKDL190142969-1a-N708_H55V3BBXX_L1_2.fq.gz,JR2773_CKDL190142969-1a-N708_H55V3BBXX_L1_1.fq.gz,JR2773_CKDL190142969-1a-N708_H55V3BBXX_L1_2.fq.gz,aabc6fc703bb966b6ab5423274123bae,7659ca716c5492e4d568c2022f942499
JR2774,ESC,KO,control,60,1,2019-11,JR2774_ESC_KO_control_60_rep1,/rinnlab/rinngrp/mism6893/ftc_atac/128.120.88.251/H202SC19112105/Rawdata/JR2774/JR2774_CKDL190142969-1a-N709_H55V3BBXX_L1_1.fq.gz,/rinnlab/rinngrp/mism6893/ftc_atac/128.120.88.251/H202SC19112105/Rawdata/JR2774/JR2774_CKDL190142969-1a-N709_H55V3BBXX_L1_2.fq.gz,JR2774_CKDL190142969-1a-N709_H55V3BBXX_L1_1.fq.gz,JR2774_CKDL190142969-1a-N709_H55V3BBXX_L1_2.fq.gz,16c3e519c1f006dfc20b85cc82fe20a4,a3428752e9dc0f970764b6f1c7b57162
JR2784,ESC,KO,control,90,1,2019-11,JR2784_ESC_KO_control_90_rep1,/rinnlab/rinngrp/mism6893/ftc_atac/128.120.88.251/H202SC19112105/Rawdata/JR2784/JR2784_CKDL190142970-1a-N707_H55V3BBXX_L2_1.fq.gz,/rinnlab/rinngrp/mism6893/ftc_atac/128.120.88.251/H202SC19112105/Rawdata/JR2784/JR2784_CKDL190142970-1a-N707_H55V3BBXX_L2_2.fq.gz,JR2784_CKDL190142970-1a-N707_H55V3BBXX_L2_1.fq.gz,JR2784_CKDL190142970-1a-N707_H55V3BBXX_L2_2.fq.gz,5f8973901be19f303349f9b79e387a2f,9104e7a14a1047cb23cdf9b6696fdca2
JR2785,ESC,KO,control,120,1,2019-11,JR2785_ESC_KO_control_120_rep1,/rinnlab/rinngrp/mism6893/ftc_atac/128.120.88.251/H202SC19112105/Rawdata/JR2785/JR2785_CKDL190142970-1a-N708_H55V3BBXX_L2_1.fq.gz,/rinnlab/rinngrp/mism6893/ftc_atac/128.120.88.251/H202SC19112105/Rawdata/JR2785/JR2785_CKDL190142970-1a-N708_H55V3BBXX_L2_2.fq.gz,JR2785_CKDL190142970-1a-N708_H55V3BBXX_L2_1.fq.gz,JR2785_CKDL190142970-1a-N708_H55V3BBXX_L2_2.fq.gz,e02137fa1a203d3be5a64c950f0dd2a4,33b0d62ce1133113ef8facdd2a4fab27
JR2786,ESC,KO,control,150,1,2019-11,JR2786_ESC_KO_control_150_rep1,/rinnlab/rinngrp/mism6893/ftc_atac/128.120.88.251/H202SC19112105/Rawdata/JR2786/JR2786_CKDL190142970-1a-N709_H55V3BBXX_L2_1.fq.gz,/rinnlab/rinngrp/mism6893/ftc_atac/128.120.88.251/H202SC19112105/Rawdata/JR2786/JR2786_CKDL190142970-1a-N709_H55V3BBXX_L2_2.fq.gz,JR2786_CKDL190142970-1a-N709_H55V3BBXX_L2_1.fq.gz,JR2786_CKDL190142970-1a-N709_H55V3BBXX_L2_2.fq.gz,bd0b17419514d1362a613f45cddcd7d4,09c7971bdf3e1db0ef9ecfa2906a9b53
JR2775,ESC,KO,firre_induced,0,1,2019-11,JR2775_ESC_KO_firre_induced_0_rep1,/rinnlab/rinngrp/mism6893/ftc_atac/128.120.88.251/H202SC19112105/Rawdata/JR2775/JR2775_CKDL190142969-1a-N710_H55V3BBXX_L1_1.fq.gz,/rinnlab/rinngrp/mism6893/ftc_atac/128.120.88.251/H202SC19112105/Rawdata/JR2775/JR2775_CKDL190142969-1a-N710_H55V3BBXX_L1_2.fq.gz,JR2775_CKDL190142969-1a-N710_H55V3BBXX_L1_1.fq.gz,JR2775_CKDL190142969-1a-N710_H55V3BBXX_L1_2.fq.gz,e911a0e4ba73394a05a118dde44a2448,1a1b1b3f9b802df7609327e1a72d7d4b
JR2776,ESC,KO,firre_induced,30,1,2019-11,JR2776_ESC_KO_firre_induced_30_rep1,/rinnlab/rinngrp/mism6893/ftc_atac/128.120.88.251/H202SC19112105/Rawdata/JR2776/JR2776_CKDL190142969-1a-N711_H55V3BBXX_L1_1.fq.gz,/rinnlab/rinngrp/mism6893/ftc_atac/128.120.88.251/H202SC19112105/Rawdata/JR2776/JR2776_CKDL190142969-1a-N711_H55V3BBXX_L1_2.fq.gz,JR2776_CKDL190142969-1a-N711_H55V3BBXX_L1_1.fq.gz,JR2776_CKDL190142969-1a-N711_H55V3BBXX_L1_2.fq.gz,8dbc64a86a5fbffd38bdbc4732f15b8f,cbbd12354e4e2e916b7511d82a7a24b3
JR2777,ESC,KO,firre_induced,60,1,2019-11,JR2777_ESC_KO_firre_induced_60_rep1,/rinnlab/rinngrp/mism6893/ftc_atac/128.120.88.251/H202SC19112105/Rawdata/JR2777/JR2777_CKDL190142969-1a-N712_H55V3BBXX_L1_1.fq.gz,/rinnlab/rinngrp/mism6893/ftc_atac/128.120.88.251/H202SC19112105/Rawdata/JR2777/JR2777_CKDL190142969-1a-N712_H55V3BBXX_L1_2.fq.gz,JR2777_CKDL190142969-1a-N712_H55V3BBXX_L1_1.fq.gz,JR2777_CKDL190142969-1a-N712_H55V3BBXX_L1_2.fq.gz,3b526b4f14db27c512494a02afa559c8,37b29e41c88a523099f91a4d2f4cf42f
JR2787,ESC,KO,firre_induced,90,1,2019-11,JR2787_ESC_KO_firre_induced_90_rep1,/rinnlab/rinngrp/mism6893/ftc_atac/128.120.88.251/H202SC19112105/Rawdata/JR2787/JR2787_CKDL190142970-1a-N710_H55V3BBXX_L2_1.fq.gz,/rinnlab/rinngrp/mism6893/ftc_atac/128.120.88.251/H202SC19112105/Rawdata/JR2787/JR2787_CKDL190142970-1a-N710_H55V3BBXX_L2_2.fq.gz,JR2787_CKDL190142970-1a-N710_H55V3BBXX_L2_1.fq.gz,JR2787_CKDL190142970-1a-N710_H55V3BBXX_L2_2.fq.gz,37e8e39ff78614f50218b0828d5f8b0c,8c23436f4482e8951cb68fbe6054a3a0
